place, device_train, device_test, err0, err1, err2, err3, err4, err5, err6, err7, err8, err9, err10, err11, err12, err13, err14, err15, err16, err17, err18, err19, err20, err21, err22, err23, err24, err25, err26, err27, err28, err29, err30, err31, err32, err33, err34, err35, err36, err37, err38, err39, err40, err41, err42, err43, err44, err45, err46, err47, err48, err49, err50, err51, err52, err53, err54, err55, err56, err57, err58, err59, err60, err61, err62, err63, err64, err65, err66, err67, err68, err69, err70, err71, err72, err73, err74, err75, err76, err77, err78, err79, err80, err81, err82, err83, err84, err85, err86, err87, err88, err89, err90, err91, err92, err93, err94, err95, err96, err97, err98, err99
bc_infill, LG, LG, 
bc_infill, LG, oneplus2, 
bc_infill, LG, oneplus3, 
bc_infill, LG, samsungS6, 
bc_infill, LG, samsungS7, 
bc_infill, oneplus2, LG, 
bc_infill, oneplus2, oneplus2, 
bc_infill, oneplus2, oneplus3, 
bc_infill, oneplus2, samsungS6, 
bc_infill, oneplus2, samsungS7, 
bc_infill, oneplus3, LG, 
bc_infill, oneplus3, oneplus2, 
bc_infill, oneplus3, oneplus3, 
bc_infill, oneplus3, samsungS6, 
bc_infill, oneplus3, samsungS7, 
bc_infill, samsungS6, LG, 
bc_infill, samsungS6, oneplus2, 
bc_infill, samsungS6, oneplus3, 
bc_infill, samsungS6, samsungS6, 
bc_infill, samsungS6, samsungS7, 
bc_infill, samsungS7, LG, 
bc_infill, samsungS7, oneplus2, 
bc_infill, samsungS7, oneplus3, 
bc_infill, samsungS7, samsungS6, 
bc_infill, samsungS7, samsungS7, 
clark_A, LG, LG, 
clark_A, LG, oneplus2, 
clark_A, LG, oneplus3, 
clark_A, LG, samsungS6, 
clark_A, LG, samsungS7, 
clark_A, oneplus2, LG, 
